flow_time,time_step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
0.6,12,-4.5,0.75,0.0,0.9966774,0.00083942554,2.2797483e-06,0.0,0.0,0.0,-0.002196377,0.0007588156,1.8200496e-06,0.0010185855,-2.9929743e-07,0.0011778194,-0.002196377,0.0007585545,1.4439879e-06,0.00075907673,0.0010185855,-1.3071674e-07,2.1961114e-06,-4.678781e-07,0.0011778194
0.6,12,-4.460064,0.75,0.0,0.9965925,0.00086874963,2.298757e-06,0.0,0.0,0.0,-0.002270357,0.0007919177,1.8762577e-06,0.0010513421,-3.1091403e-07,0.0012190138,-0.002270357,0.00079164724,1.4899756e-06,0.0007921881,0.0010513421,-1.3610769e-07,2.2625397e-06,-4.8572036e-07,0.0012190138
0.6,12,-4.420128,0.75,0.0,0.99650514,0.00089921406,2.2100508e-06,0.0,0.0,0.0,-0.0023474123,0.0008267512,1.9347544e-06,0.0010853753,-3.231072e-07,0.0012620316,-0.0023474123,0.00082647614,1.5378806e-06,0.0008270262,0.0010853753,-1.418054e-07,2.3316284e-06,-5.04409e-07,0.0012620316
0.6,12,-4.380192,0.75,0.0,0.99641424,0.00093145017,1.6859702e-06,0.0,0.0,0.0,-0.002427705,0.00086343137,1.9955723e-06,0.0011207515,-3.3587634e-07,0.0013069517,-0.002427705,0.00086315005,1.5877661e-06,0.0008637127,0.0011207515,-1.4779638e-07,2.4033789e-06,-5.239563e-07,0.0013069517
0.6,12,-4.3402557,0.75,0.0,0.9963205,0.0009648338,1.6794298e-06,0.0,0.0,0.0,-0.0025113826,0.0009020611,2.0589032e-06,0.0011575234,-3.4927493e-07,0.001353855,-0.0025113826,0.0009017728,1.6397289e-06,0.00090234936,0.0011575234,-1.5413069e-07,2.4780775e-06,-5.4441915e-07,0.001353855
0.6,12,-4.3003197,0.75,0.0,0.9962235,0.0009997061,1.6889466e-06,0.0,0.0,0.0,-0.002598631,0.0009427793,2.1248934e-06,0.0011957528,-3.633321e-07,0.0014028867,-0.002598631,0.000942486,1.6939626e-06,0.0009430726,0.0011957528,-1.6080831e-07,2.5558243e-06,-5.658559e-07,0.0014028867
0.6,12,-4.2603836,0.75,0.0,0.9961232,0.0010361805,1.6779575e-06,0.0,0.0,0.0,-0.0026896344,0.0009856832,2.1936262e-06,0.001235504,-3.7809528e-07,0.001454138,-0.0026896344,0.0009853834,1.7505228e-06,0.0009859828,0.001235504,-1.6787514e-07,2.6367297e-06,-5.883154e-07,0.001454138
0.6,12,-4.220447,0.75,0.0,0.9960195,0.0010743564,1.647015e-06,0.0,0.0,0.0,-0.0027845951,0.0010309445,2.2652255e-06,0.0012768527,-3.9358585e-07,0.0015077305,-0.0027845951,0.0010306374,1.8094736e-06,0.0010312517,0.0012768527,-1.7531966e-07,2.7209774e-06,-6.1185204e-07,0.0015077305
0.6,12,-4.180511,0.75,0.0,0.9959121,0.0011142847,1.5994532e-06,0.0,0.0,0.0,-0.0028836806,0.0010787151,2.339895e-06,0.0013198813,-4.098736e-07,0.0015638041,-0.0028836806,0.0010784039,1.871099e-06,0.0010790263,0.0013198813,-1.8319328e-07,2.808691e-06,-6.365539e-07,0.0015638041
0.6,12,-4.140575,0.75,0.0,0.9958007,0.0011560358,1.5848159e-06,0.0,0.0,0.0,-0.0029871198,0.0011291306,2.4177975e-06,0.0013646752,-4.2697664e-07,0.0016224805,-0.0029871198,0.0011288096,1.9354006e-06,0.0011294516,0.0013646752,-1.9153781e-07,2.9001944e-06,-6.6241546e-07,0.0016224805
0.6,12,-4.100639,0.75,0.0,0.9956852,0.0011998103,1.5812288e-06,0.0,0.0,0.0,-0.0030951884,0.0011823652,2.4990798e-06,0.0014112721,-4.4497966e-07,0.0016839191,-0.0030951884,0.0011820298,2.002589e-06,0.0011827007,0.0014112721,-2.0037604e-07,2.9955704e-06,-6.895833e-07,0.0016839191
0.6,12,-4.060703,0.75,0.0,0.99556565,0.0012455933,1.5631006e-06,0.0,0.0,0.0,-0.003208036,0.0012386317,2.5839147e-06,0.0014597878,-4.6391742e-07,0.0017482386,-0.003208036,0.0012382879,2.072814e-06,0.0012389754,0.0014597878,-2.0972992e-07,3.0950155e-06,-7.181049e-07,0.0017482386
0.6,12,-4.0207667,0.75,0.0,0.99544156,0.0012936695,1.5418784e-06,0.0,0.0,0.0,-0.0033259904,0.0012981105,2.672577e-06,0.0015103205,-4.8386653e-07,0.0018156673,-0.0033259904,0.0012977512,2.146271e-06,0.0012984698,0.0015103205,-2.1966326e-07,3.198883e-06,-7.4806985e-07,0.0018156673
0.6,12,-3.9808307,0.75,0.0,0.995313,0.0013439903,1.5785297e-06,0.0,0.0,0.0,-0.00344929,0.0013610166,2.7652022e-06,0.0015629318,-5.04856e-07,0.00188634,-0.00344929,0.0013606546,2.2230788e-06,0.0013613788,0.0015629318,-2.3018997e-07,3.3073256e-06,-7.7952205e-07,0.00188634
0.6,12,-3.9408946,0.75,0.0,0.9951796,0.0013967339,1.5547207e-06,0.0,0.0,0.0,-0.0035782054,0.001427572,2.8620047e-06,0.0016177454,-5.2698795e-07,0.0019604866,-0.0035782054,0.0014272092,2.3035086e-06,0.0014279346,0.0016177454,-2.413549e-07,3.4205007e-06,-8.1262095e-07,0.0019604866
0.6,12,-3.9009585,0.75,0.0,0.9950412,0.0014520693,1.5259234e-06,0.0,0.0,0.0,-0.0037130343,0.0014980398,2.9632722e-06,0.0016748414,-5.5034116e-07,0.0020382442,-0.0037130343,0.001497659,2.3876669e-06,0.0014984207,0.0016748414,-2.5326077e-07,3.5388775e-06,-8.474215e-07,0.0020382442
0.6,12,-3.8610225,0.75,0.0,0.99489754,0.0015101383,1.5546399e-06,0.0,0.0,0.0,-0.003854178,0.0015726796,3.0691986e-06,0.0017343604,-5.749488e-07,0.0021198345,-0.003854178,0.0015722853,2.475864e-06,0.0015730739,0.0017343604,-2.6591096e-07,3.662533e-06,-8.839866e-07,0.0021198345
0.6,12,-3.8210862,0.75,0.0,0.9947484,0.0015710844,1.5008931e-06,0.0,0.0,0.0,-0.0040019564,0.0016517823,3.1801196e-06,0.0017963802,-6.0093896e-07,0.0022055581,-0.0040019564,0.0016513763,2.568331e-06,0.0016521884,0.0017963802,-2.793782e-07,3.791908e-06,-9.224997e-07,0.0022055581
0.6,12,-3.78115,0.75,0.0,0.9945936,0.0016351219,1.5402218e-06,0.0,0.0,0.0,-0.0041566314,0.0017356558,3.296244e-06,0.0018610365,-6.283866e-07,0.002295603,-0.0041566314,0.0017352375,2.6652226e-06,0.0017360742,0.0018610365,-2.9373365e-07,3.9272654e-06,-9.630396e-07,0.002295603
0.6,12,-3.741214,0.75,0.0,0.99443275,0.0017024572,1.5032285e-06,0.0,0.0,0.0,-0.004318665,0.0018246318,3.4178802e-06,0.0019284356,-6.5737254e-07,0.0023902196,-0.004318665,0.0018242174,2.7668987e-06,0.0018250461,0.0019284356,-3.0903837e-07,4.068862e-06,-1.0057067e-06,0.0023902196
0.6,12,-3.701278,0.75,0.0,0.9942709,0.0018081055,8.205478e-07,0.0,0.0,0.0,-0.004488411,0.0019190846,3.5454336e-06,0.0019987328,-6.88058e-07,0.0024897077,-0.004488411,0.0019186486,2.8736317e-06,0.0019195206,0.0019987328,-3.2538915e-07,4.2172355e-06,-1.0507268e-06,0.0024897077
0.6,12,-3.661342,0.75,0.0,0.9940973,0.0018840302,6.9661826e-07,0.0,0.0,0.0,-0.004666355,0.002019366,3.6792767e-06,0.0020720311,-7.205048e-07,0.0025944053,-0.004666355,0.0020189413,2.9857226e-06,0.0020197907,0.0020720311,-3.4285807e-07,4.3728305e-06,-1.0981515e-06,0.0025944053
0.6,12,-3.6214056,0.75,0.0,0.9939168,0.0019641009,5.5284625e-07,0.0,0.0,0.0,-0.004853035,0.002125959,3.819702e-06,0.0021484774,-7.548633e-07,0.0027045878,-0.004853035,0.0021255263,3.1034892e-06,0.0021263917,0.0021484774,-3.615214e-07,4.5359157e-06,-1.1482052e-06,0.0027045878
0.6,12,-3.5814695,0.75,0.0,0.99372923,0.002048531,4.5553293e-07,0.0,0.0,0.0,-0.0050488445,0.0022392883,3.9671622e-06,0.0022282351,-7.912614e-07,0.0028206138,-0.0050488445,0.002238818,3.2273251e-06,0.0022397584,0.0022282351,-3.8151336e-07,4.7069993e-06,-1.2010095e-06,0.0028206138
