run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,cluster_n_peaks,cluster_x_span,cluster_radius_span,strongest_peak_pair_bridge_ratio,peak_rank
p_moments,0.0,0,0.499997615814209,1.0,1.0008936309814453,2,2,1,"[0.499997615814209, 0.499997615814209]","[1.0, 1.0]",-1.354488987085026e-05,0
p_moments,0.0,0,-0.5000014305114746,1.0,1.0008557128906252,2,2,1,"[-0.5000014305114746, -0.5000014305114746]","[1.0, 1.0]",-1.354488987085026e-05,1
p_moments,0.15,40,0.679997444152832,1.0399999618530273,0.9557748413085939,2,2,1,"[0.679997444152832, 0.679997444152832]","[1.0399999618530273, 1.0399999618530273]",-1.7494978286008177e-06,0
p_moments,0.15,40,-0.32000160217285156,0.9599999785423279,0.9078321838378908,2,2,1,"[-0.32000160217285156, -0.32000160217285156]","[0.9599999785423279, 0.9599999785423279]",-1.7494978286008177e-06,1
p_moments,0.3,80,0.8399972915649414,1.0799999237060547,0.9196438598632813,2,2,1,"[0.8399972915649414, 0.8399972915649414]","[1.0799999237060547, 1.0799999237060547]",9.787448956702926e-06,0
p_moments,0.3,80,-0.12000179290771484,0.9199999570846558,0.8215951538085938,2,2,1,"[-0.12000179290771484, -0.12000179290771484]","[0.9199999570846558, 0.9199999570846558]",9.787448956702926e-06,1
p_moments,0.45,120,0.9999971389770508,1.1399999856948853,0.8758721923828127,2,2,1,"[0.9999971389770508, 0.9999971389770508]","[1.1399999856948853, 1.1399999856948853]",2.676326180570922e-05,0
p_moments,0.45,120,0.09999799728393555,0.85999995470047,0.7501963806152345,2,2,1,"[0.09999799728393555, 0.09999799728393555]","[0.85999995470047, 0.85999995470047]",2.676326180570922e-05,1
p_moments,0.6,160,1.1399970054626465,1.159999966621399,0.8335988616943361,2,2,1,"[1.1399970054626465, 1.1399970054626465]","[1.159999966621399, 1.159999966621399]",2.302991729403969e-05,0
p_moments,0.6,160,0.29999780654907227,0.8199999928474426,0.6724671936035157,2,2,1,"[0.29999780654907227, 0.29999780654907227]","[0.8199999928474426, 0.8199999928474426]",2.302991729403969e-05,1
p_moments,0.75,200,1.2599968910217285,1.2200000286102295,0.8213999938964844,2,2,1,"[1.2599968910217285, 1.2599968910217285]","[1.2200000286102295, 1.2200000286102295]",6.0772743477049606e-05,0
