time,step,total_kinetic_energy,energy_measurement,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,selective_eddy_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.025,10,0.0884525403380394,unbounded_energy,17.03435516357422,14.56462287902832,0.0,direct_energy_backward_difference,-0.0155683262273669,-1.0288204066455364e-08,1.5730725526809692,1.30385160446167e-08,0.990595042705536,-1.0186340659856796e-08,0.0679716095328331,1.2165401130914688e-08,0.6566562056541443,1.411535777151584e-09,-1.0664758682250977,2.2671883925795555e-08,1440,0.0429712012410163,0.0386770330369472,0.0690348073840141,0.1164185628294944,0.0,0.0,0.0010000000474974,0.0010000000474974,0.0,0.0690348110782603,0.2303462720818643,0.411345289467412,0.3702758945781758,28.394525331175608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0480754509568214,0.0,0.0020961602104906,0.0700677697433237,1.9209437596146017e-08,3.2247953640762717e-08,1.964792138003774e-09,1.4130193268918462e-08,-0.9905936121940612,1.430511474609375e-06,-1.0233769594183575,-0.3667207537642132,-3.399804882064927e-10,-1.0526321148063289e-08,0.0480754509568214,0.0312733770100179,0.0429712012410163,2466.5928543309465
0.05,20,0.1182320490479469,unbounded_energy,24.392406463623047,21.01224136352539,1.1911803483963013,direct_energy_backward_difference,-0.0225746426731348,-2.064334694296122e-07,2.0580904483795166,5.913898348808289e-07,1.0929911136627195,2.666347427293658e-07,0.0858815312385559,-3.5112316254526377e-07,0.5961434841156006,-3.326567821204662e-08,-1.0060842037200928,-5.027268343837932e-07,2880,0.0424655489623546,0.0386770591139793,0.0694347247481346,0.1168472617864608,0.0,0.0,0.0010000000474974,0.0010000000474974,0.0,0.0694347322737384,0.2245999133071654,0.412013725693976,0.2026703083175766,29.43657512896913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0542848688364028,0.0,0.0022417235305424,0.0881232547690983,-1.2248733582964633e-08,5.791411012978642e-07,-5.628390947134971e-09,-3.567515534923987e-07,-1.0930018424987793,-1.0728836059570312e-05,-1.1119926299495628,-0.5158491458339622,-1.0398480299045332e-08,2.562362624303205e-07,0.0542848688364028,0.0371565154148364,0.0424655489623546,2542.0490671232124
0.075,30,0.1511693149805069,unbounded_energy,32.326629638671875,27.966033935546875,1.317490637302399,direct_energy_backward_difference,-0.0302809458225965,-5.670299287885427e-07,2.5290260314941406,-3.171153366565705e-07,1.1500366926193235,7.221242412924767e-07,0.1031218320131301,-6.82193785905838e-07,0.4832878112792969,2.3603206500411034e-08,-0.8848237991333008,-9.173527359962464e-07,4320,0.0417383760213851,0.0386770591139793,0.069830298423767,0.1172744259238243,0.0,0.0,0.0010000000474974,0.0010000000474974,0.0,0.0698302977563192,0.2282633529844906,0.4130213861050586,0.1940305072776318,33.06606274490581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0487974345684051,0.0,0.0041002765696406,0.1072221085827708,8.274355423054658e-09,-3.088409812335158e-07,-8.820604180112889e-11,-6.822819919476391e-07,-1.1500531435012815,-1.6450881958007812e-05,-1.1497391211682206,-0.6664513098889238,-3.2388669524152647e-09,7.188853743400614e-07,0.0487974345684051,0.0397690392774116,0.0417383760213851,2664.4444582884844
0.1,40,0.1887166798114776,unbounded_energy,40.5405387878418,35.207950592041016,1.50189459323883,direct_energy_backward_difference,-0.0383126735687255,-2.684055289137177e-06,3.0001845359802246,4.191019797872286e-08,1.1867555379867554,1.0725016181822866e-06,0.1204655170440673,-1.197104325001419e-06,0.3425632119178772,2.1198152921897417e-07,-0.7436460256576538,-1.504355850556749e-06,5760,0.0408992320299148,0.0386770330369472,0.0702217072248458,0.1177000254392623,0.0,0.0,0.0010000000474974,0.0010000000474974,0.0,0.0702217013743292,0.2257652230441462,0.3766511104128245,0.1741292604815433,30.76754313177217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0501637753844261,0.0,0.0066500826393406,0.127115599683408,-1.710128572085523e-08,2.4808912257867632e-08,6.051754305800213e-09,-1.1910525706956188e-06,-1.186736822128296,1.8715858459472656e-05,-1.1614332460479189,-0.8188700341300417,-2.0319536275792416e-08,1.0521820819064942e-06,0.0501637753844261,0.041649277941629,0.0408992320299148,2727.597711041565
0.125,50,0.2302462309598922,unbounded_energy,48.774192810058594,42.51903533935547,1.661182045936585,direct_energy_backward_difference,-0.0463975071907043,-1.0321964509785175e-05,3.4876904487609863,-1.0469730113982223e-06,1.2127313613891602,2.8385609311953885e-06,0.1380406320095062,-2.1474543245858513e-06,0.1841588318347931,1.6371191122743769e-06,-0.6006165146827698,-3.4018737551377853e-06,7200,0.0400167517364025,0.0386769995093345,0.0706091299653053,0.1181240975856781,0.0,0.0,0.0010000001639127,0.0010000000474974,0.0,0.0706091227620426,0.2245292093723321,0.3654843575703861,0.1717669675447448,33.34269752368544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0446139335632324,0.0,0.0091433985502319,0.1471840305597382,1.3246996388716072e-08,-1.0337260150095062e-06,5.927306202281355e-09,-2.14152701838357e-06,-1.2126983404159546,3.3020973205566406e-05,-1.157125860654044,-0.9729670288192508,-8.1906437188195e-10,2.8377418668235066e-06,0.0446139335632324,0.0323206067444625,0.0400167517364025,2755.869527813996
0.15,60,0.2748695313930511,unbounded_energy,56.861358642578125,49.758052825927734,1.7849320173263554,direct_energy_backward_difference,-0.0544005781412124,-1.1457471373432782e-05,3.981980800628662,-3.1436211429536343e-06,1.2322804927825928,2.345913571843994e-06,0.1560371965169906,-1.3088091463941964e-06,0.0135204717516899,1.7811888710639323e-06,-0.4659502804279327,-2.663166469574207e-06,8640,0.0391536876559257,0.0386770404875278,0.0709927231073379,0.118546649813652,0.0,0.0,0.0010000000474974,0.0010000000474974,0.0,0.0709927235945576,0.2267662014452299,0.3814619012143638,0.1605132684012082,26.28363334072573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0439504922926425,0.0,0.0109253888375696,0.1669625853545603,-4.056715852129855e-08,-3.184188301474933e-06,1.4783682303558437e-08,-1.294025464090638e-06,-1.2322219610214231,5.8531761169433594e-05,-1.1418921938617848,-1.1283717221100948,-1.6590387730275324e-08,2.3293231841137185e-06,0.0439504922926425,0.0321276782512024,0.0391536876559257,2761.9934247526553
0.175,70,0.3260820187340503,periodic_fourier_energy,57.944925655255574,49.87463032575727,-0.0579449284074918,fourier_transition_viscous_rate,-0.0579449284074918,-1.0893383471990206e-05,4.480023471511737,-3.3942712747148107e-06,1.2474614387299543,3.0456333064421415e-06,0.1745604904687501,-1.2465719267973656e-06,-0.1660936295999878,1.5604012441307323e-06,-0.3458863863001847,-2.928816399910928e-06,10080,0.0383432954549789,0.0386770293116569,0.0713726580142974,0.1189677193760871,0.0,0.0,0.0010000001639127,0.0010000000474974,0.0,0.0713726554553778,0.2281330972865686,0.4094054479130559,0.1696759892583547,28.24978734701542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0434430027753114,0.0,0.0114259570088512,0.1859864474776014,-5.12778797201463e-08,-3.445549154434957e-06,1.9352336092923632e-08,-1.227219590704442e-06,-1.2473857402801514,7.569844980293006e-05,-1.1187561730792122,-1.2848498026792,-3.3272630872716036e-08,3.0123606755694254e-06,0.0434430027753114,0.0315942286973656,0.0383432954549789,2731.633965433709
0.2,80,0.4115832625758831,periodic_fourier_energy,64.94620498727252,55.97683502195556,2.0430476940505997,fourier_grid_transition_backward_difference,-0.0649462080720517,-1.0139691242894356e-05,4.9843871345478465,-2.1502776696991077e-06,1.2593482697128036,2.5535360776984817e-06,0.1934292718493175,-1.0724653912589158e-06,-0.3525128511897643,1.3045743977159717e-06,-0.2445616438776345,-2.516288907006232e-06,11520,0.0376191847026348,0.0386770516633987,0.071749061346054,0.1193872764706611,0.0,0.0,0.0010000000474974,0.0010000000474974,0.0,0.0717490585934784,0.230636603698471,0.4188971781930797,0.134920787436038,23.60204722965939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0429879033565521,0.0,0.0101826615936933,0.2036119334430108,-3.5420498534222133e-08,-2.18569816823333e-06,1.6441835417985315e-08,-1.0560235558409304e-06,-1.2592300176620483,0.0001182520507552,-1.089698809247062,-1.4422116604368265,-5.653120638271503e-09,2.54788295706021e-06,0.0429879033565521,0.0312798991694453,0.0376191847026348,2676.1417020367176
0.225,90,0.4659996099067911,periodic_fourier_energy,71.80617209899266,61.97689149840876,2.1766538932363204,periodic_fourier_energy_backward_difference,-0.0718061755096028,-8.051378059269679e-06,5.497055137753985,-2.0781061067509654e-06,1.2684587241324583,1.7105068366163325e-06,0.2123559898372597,-1.7770264084570253e-07,-0.5441540746418054,1.095686551448452e-06,-0.1650368138806854,-1.6926760885189258e-06,12960,0.0370046906173229,0.0386770218610763,0.0721220597624778,0.1198053807020187,0.0,0.0,0.0010000000474974,0.0010000000474974,0.0,0.0721220626150844,0.2301480650988311,0.413419907313769,0.1501158847786369,25.297623750458115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.042202461361885,0.0,0.0068648913240577,0.2192208811613175,2.8782778827007863e-08,-2.0493233279239575e-06,-5.813546859277678e-10,-1.782839955316303e-07,-1.2683106660842896,0.0001480580481687,-1.0561461263294438,-1.6003002009712493,3.218062261112209e-09,1.7137248988774445e-06,0.042202461361885,0.0299076502868083,0.0370046906173229,2622.832218879909
0.25,100,0.4901190003161754,periodic_fourier_energy,78.52130567758577,67.87266903287133,2.258298651117592,fourier_grid_transition_backward_difference,-0.0785213094071476,-6.889519139964326e-06,6.020343623603084,2.2223610400828875e-06,1.275192234172335,3.974213655055792e-06,0.2311829108848324,-2.0053870265531316e-06,-0.7396507888234707,4.65292543356512e-07,-0.1098518453460553,-3.173003259887864e-06,14400,0.0365268848836422,0.0386770069599151,0.0724917873740196,0.1202220171689987,0.0,0.0,0.0010000001639127,0.0010000000474974,0.0,0.0724917873553931,0.2330881220177208,0.4268845003154008,0.138277578443368,27.275518488037484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0410897096991539,0.0,0.0012911331473892,0.2324740440322217,-4.958110366715118e-09,2.2174029297161724e-06,-5.721912687217975e-09,-2.0111089392403494e-06,-1.274987816810608,0.000204417361727,-1.019231681154608,-1.7588824699780787,3.8072514030318424e-09,3.9780209064588234e-06,0.0410897096991539,0.0296089598830091,0.0365268848836422,2572.3224150526767
