time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,force_density,force_units,moment_units,reference_speed,reference_speed_units,power,rotational_power,translational_power
0.0025,1,0.6870614395660607,0.06871062557713514,1.0163263005179154e-08,-0.6312789,9.337498e-08,6.312377,0.0,0.0,0.0,6.670459362575297e-08,-8.768443453613946,1.3591620156129363e-07,6.312376976013184,0.6312788724899292,15.312500000000002,0.6000000000000001,7.260363932054744e-09,-1.5906473385240714,1.479360016993672e-08,1.7986959163226234e-09,-0.5264488964124059,2.093684026451946e-08,-1.0507951974868774,1.0507953356718644,0.0,144,1.225,N,N*m,5.0,m/s,-0.7144959862296112,-0.762897832831043,0.0484018466014318
0.005,2,0.6588639239875637,0.06169167343451051,1.3004160964989012e-08,-0.56679225,1.1947573e-07,6.0533123,0.0,0.0,0.0,6.333921115932852e-08,-8.44876978831746,9.109055259438197e-08,6.053312301635742,0.5667922496795654,15.312500000000002,0.6000000000000001,6.8940637996548035e-09,-1.5326566509419424,9.914617969456538e-09,-2.049939187408304e-09,-0.5119968595958889,1.9770311223355682e-09,-1.0018712282180786,1.0018713018379426,0.0,288,1.225,N,N*m,5.0,m/s,-0.615625066568797,-0.7081451335309497,0.09252006696215255
0.0075,3,0.6394222025968589,0.057681687024174894,6.4087714303996035e-09,-0.5299505,5.8880588e-08,5.8746915,0.0,0.0,0.0,-3.007372418011977e-08,-8.246528586323253,7.038324755555207e-08,5.874691486358643,0.5299504995346069,15.312500000000002,0.6000000000000001,-3.2733305230062326e-09,-1.4959689045484352,7.660761638699544e-09,-2.4140736430275194e-08,-0.5052798351192689,2.5114625831749157e-08,-0.9701971411705017,0.9701981394281489,0.0,432,1.225,N,N*m,5.0,m/s,-0.5354303743147656,-0.6706346455133556,0.13520427119859008
0.01,4,0.6300145882327539,0.054503317592906296,2.511191822889975e-09,-0.50074923,2.3071575e-08,5.788259,0.0,0.0,0.0,9.540884986464042e-09,-8.148123344968091,3.8567472702443254e-08,5.788259029388428,0.5007492303848267,15.312500000000002,0.6000000000000001,1.038463671996086e-09,-1.4781176135996532,4.197820158089061e-09,-1.4389567330580988e-08,-0.5019801652350392,3.4429633445074763e-10,-0.9530145525932312,0.9530145541337358,0.0,576,1.225,N,N*m,5.0,m/s,-0.4748080426992504,-0.6523721503892861,0.17756410769003578
0.0125,5,0.6259050953144929,0.052396790510943134,3.454850502130036e-08,-0.4813955,3.174144e-07,5.750503,0.0,0.0,0.0,9.300454201802778e-08,-8.124045592522386,1.3228411155233669e-07,5.750503063201904,0.48139551281929016,15.312500000000002,0.6000000000000001,1.0122943348900981e-08,-1.4737497673509992,1.439827064515229e-08,4.1013038685532646e-08,-0.5039920504131012,-3.411186713294512e-09,-0.946941077709198,0.9469417315244044,0.0,720,1.225,N,N*m,5.0,m/s,-0.4246976709993884,-0.6464800265950204,0.221782355595632
0.015,6,0.62787846156529,0.051623649337664744,1.534072864506881e-08,-0.47429228,1.4094294e-07,5.7686334,0.0,0.0,0.0,6.078538007164906e-08,-8.153052358141094,3.96682581514305e-08,5.7686333656311035,0.4742922782897949,15.312500000000002,0.6000000000000001,6.616095790111461e-09,-1.4790117656491777,4.317633540291755e-09,-1.4950657504148222e-08,-0.5061871881117354,1.2617104458717666e-08,-0.9487525224685669,0.9487534590455695,0.0,864,1.225,N,N*m,5.0,m/s,-0.3761745778182175,-0.6428789470109783,0.26670436919276075
0.0175,7,0.6323881084416187,0.05278793321985776,-4.943478019982512e-09,-0.48498914,-4.5418204e-08,5.8100657,0.0,0.0,0.0,4.1211296560924725e-08,-8.227732405217276,8.899052154997949e-08,5.810065746307373,0.48498913645744324,15.312500000000002,0.6000000000000001,4.485583299148269e-09,-1.4925591664793239,9.686043161902528e-09,5.713854061097513e-10,-0.5125365397827424,-6.568655339988315e-09,-0.9557748436927795,0.9557758652129316,0.0,1008,1.225,N,N*m,5.0,m/s,-0.3325481341859743,-0.6473514531048459,0.31480331891887164
0.02,8,0.6406351206253985,0.05345235227727565,1.1944079152785546e-08,-0.4910935,1.0973623e-07,5.885835,0.0,0.0,0.0,6.275947136090263e-08,-8.316416062882919,1.4037817233050419e-07,5.88583517074585,0.4910934865474701,15.312500000000002,0.6000000000000001,6.830962869213891e-09,-1.508646904831368,1.527925685229977e-08,2.2051992135591243e-08,-0.5157857362915867,-8.011472785249857e-09,-0.9659802317619324,0.9659805318680519,0.0,1152,1.225,N,N*m,5.0,m/s,-0.29269534493492066,-0.654753704290952,0.3620583593560314
0.0225,9,0.6475835787195736,0.054992915821724185,5.812283274479056e-09,-0.5052474,5.3400353e-08,5.949674,0.0,0.0,0.0,-2.8003151619407753e-08,-8.420220215734439,4.6917363655756724e-08,5.949674129486084,0.5052474141120911,15.312500000000002,0.6000000000000001,-3.0479620810239727e-09,-1.5274775901559068,5.106651826476921e-09,-1.7409634199880414e-08,-0.5236531817723833,6.28919917203131e-09,-0.9779163599014282,0.9779168942600265,0.0,1296,1.225,N,N*m,5.0,m/s,-0.24762480135977746,-0.6616102450507165,0.41398544369093904
0.025,10,0.656411618602519,0.056909937436888804,2.0144237286560108e-08,-0.52286005,1.8507518e-07,6.0307817,0.0,0.0,0.0,-1.1773265051257713e-08,-8.515854782555556,-1.1495416817899366e-08,6.0307817459106445,0.522860050201416,15.312500000000002,0.6000000000000001,-1.2814438151028802e-09,-1.5448262644091706,-1.2512018305196587e-09,8.933094083046425e-10,-0.5270922048832551,2.5914783184068132e-08,-0.9905936121940613,0.9905942703873656,0.0,1440,1.225,N,N*m,5.0,m/s,-0.20499380222740465,-0.6683979245567098,0.4634041223293051
